tgos_id,company_id,company_name,store_name,store_address,store_status,store_create_date,store_update_date,longitude,latitude
1,16740494,全聯實業股份有限公司,關西中山東分公司,新竹縣關西鎮東安里中山東路26號,1,1131001,1141209,121.183492,24.789389
2,16740494,全聯實業股份有限公司,鳳山五甲二分公司,高雄市鳳山區南和里五甲二路505、507號,1,1131203,       ,120.331104,22.595289
3,16740494,全聯實業股份有限公司,龍山捷運分公司,臺北市萬華區富福里和平西路三段120號地下一層,1,1140206,1141009,121.499812,25.035011
5,16740494,全聯實業股份有限公司,三重成功分公司,新北市三重區福德里成功路110號地下室,1,1131203,       ,121.487095,25.05159
6,16740494,全聯實業股份有限公司,中壢永順分公司,桃園市中壢區洽溪里永順一街126號及永春路105號,1,1130919,       ,121.206661,25.012194
7,16740494,全聯實業股份有限公司,觀音莊敬分公司,桃園市觀音區草漯里莊敬路186號1樓,1,1130919,1140307,121.135445,25.04492
8,16740494,全聯實業股份有限公司,大雅永和分公司,臺中市大雅區文雅里永和路136-8、136-9號,1,1131204,1140506,120.644617,24.221655
9,16740494,全聯實業股份有限公司,豐原豐勢分公司,臺中市豐原區翁子里豐勢路二段199、201號,1,1140113,       ,120.752887,24.271999
10,16740494,全聯實業股份有限公司,永和永平分公司,新北市永和區前溪里永平路26號1樓及地下1樓,1,1131203,       ,121.513293,25.008956
11,16740494,全聯實業股份有限公司,觀音中山東分公司,桃園市觀音區富源里中山東路二段945號,1,1131112,1140206,121.149107,24.964224
12,16740494,全聯實業股份有限公司,新城北埔分公司,花蓮縣新城鄉北埔村北埔路103、103-1號,1,1140306,       ,121.602976,24.035246
13,16740494,全聯實業股份有限公司,林園石化三分公司,高雄市林園區中芸里石化三路351號1樓,1,1131001,       ,120.396153,22.490182
14,16740494,全聯實業股份有限公司,內湖康寧分公司,臺北市內湖區安湖里東湖路1號1、2樓,1,1140108,       ,121.612365,25.069101
15,16740494,全聯實業股份有限公司,台中分公司,臺中市北區忠明路499號1樓、2樓、地下1樓,1,0861201,1140721,120.672005,24.163468
16,16740494,全聯實業股份有限公司,北投捷運分公司,臺北市北投路2段11號地下1樓,1,0870908,1120904,121.498724,25.130672
19,16740494,全聯實業股份有限公司,彰化鹿港分公司,彰化縣鹿港鎮復興路210號,1,0870908,0970220,120.438458,24.054807
20,16740494,全聯實業股份有限公司,花蓮國聯分公司,花蓮縣花蓮市國聯二路110號,1,0870908,1120605,121.60199,23.988948
21,16740494,全聯實業股份有限公司,玉里和平分公司,花蓮縣玉里鎮和平路92號,1,0870908,1121106,121.314179,23.333416
23,16740494,全聯實業股份有限公司,豐原成功分公司,臺中市豐原區成功路198號,1,0870908,1100708,120.708896,24.245788
24,16740494,全聯實業股份有限公司,台中大智分公司,臺中市東區大智路３５０巷２號１樓,1,0870908,1111206,120.690016,24.129314
25,16740494,全聯實業股份有限公司,霧峰民生分公司,臺中市霧峰區民生路75號1樓,1,0870908,1100510,120.700019,24.064492
27,16740494,全聯實業股份有限公司,台中沙鹿分公司,臺中市沙鹿區大同街119-1號1樓,1,0870908,1040420,120.5588,24.239491
29,16740494,全聯實業股份有限公司,新營復興分公司,臺南市新營區復興路150-3號1樓,1,0870908,1140502,120.307843,23.30319
31,16740494,全聯實業股份有限公司,基隆七堵分公司,基隆市七堵區南興路106號,1,0870908,1130604,121.712121,25.09653
33,16740494,全聯實業股份有限公司,內湖港墘分公司,臺北市內湖區港墘路127巷10號地下1層,1,0870908,1111007,121.576916,25.077871
35,16740494,全聯實業股份有限公司,光復中山分公司,花蓮縣光復鄉中山路二段299-1、299-2號1樓,1,0880122,1140407,121.424387,23.667601
