county_name,town_name,lat,lon,geometry,convenience_store_count,grocery_store_count,adb_sysdt
屏東縣,恆春鎮,21.91,120.85,"POLYGON ((120.845 21.905, 120.845 21.915, 120.855 21.915, 120.855 21.905, 120.845 21.905))",1,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.93,120.82,"POLYGON ((120.815 21.925, 120.815 21.935, 120.825 21.935, 120.825 21.925, 120.815 21.925))",1,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.94,120.8,"POLYGON ((120.795 21.935, 120.795 21.945, 120.805 21.945, 120.805 21.935, 120.795 21.935))",1,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.95,120.74,"POLYGON ((120.735 21.945, 120.735 21.955, 120.745 21.955, 120.745 21.945, 120.735 21.945))",3,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.95,120.78,"POLYGON ((120.775 21.945, 120.775 21.955, 120.785 21.955, 120.785 21.945, 120.775 21.945))",3,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.95,120.8,"POLYGON ((120.795 21.945, 120.795 21.955, 120.805 21.955, 120.805 21.945, 120.795 21.945))",3,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.96,120.77,"POLYGON ((120.765 21.955, 120.765 21.965, 120.775 21.965, 120.775 21.955, 120.765 21.955))",1,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.97,120.75,"POLYGON ((120.745 21.965, 120.745 21.975, 120.755 21.975, 120.755 21.965, 120.745 21.965))",1,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.98,120.78,"POLYGON ((120.775 21.975, 120.775 21.985, 120.785 21.985, 120.785 21.975, 120.775 21.975))",0,1,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,21.99,120.75,"POLYGON ((120.745 21.985, 120.745 21.995, 120.755 21.995, 120.755 21.985, 120.745 21.985))",1,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,22,120.74,"POLYGON ((120.735 21.995, 120.735 22.005, 120.745 22.005, 120.745 21.995, 120.735 21.995))",4,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,22,120.75,"POLYGON ((120.745 21.995, 120.745 22.005, 120.755 22.005, 120.755 21.995, 120.745 21.995))",1,1,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,22.01,120.74,"POLYGON ((120.735 22.005, 120.735 22.015, 120.745 22.015, 120.745 22.005, 120.735 22.005))",2,1,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,22.01,120.75,"POLYGON ((120.745 22.005, 120.745 22.015, 120.755 22.015, 120.755 22.005, 120.745 22.005))",1,0,2026-02-04T14:59:48.291Z
屏東縣,恆春鎮,22.02,120.74,"POLYGON ((120.735 22.015, 120.735 22.025, 120.745 22.025, 120.745 22.015, 120.735 22.015))",2,0,2026-02-04T14:59:48.291Z
屏東縣,滿州鄉,22.02,120.84,"POLYGON ((120.835 22.015, 120.835 22.025, 120.845 22.025, 120.845 22.015, 120.835 22.015))",1,0,2026-02-04T14:59:48.291Z
屏東縣,車城鄉,22.06,120.72,"POLYGON ((120.715 22.055, 120.715 22.065, 120.725 22.065, 120.725 22.055, 120.715 22.055))",2,0,2026-02-04T14:59:48.291Z
臺東縣,蘭嶼鄉,22.06,121.51,"POLYGON ((121.505 22.055, 121.505 22.065, 121.515 22.065, 121.515 22.055, 121.505 22.055))",1,0,2026-02-04T14:59:48.291Z
臺東縣,蘭嶼鄉,22.06,121.56,"POLYGON ((121.555 22.055, 121.555 22.065, 121.565 22.065, 121.565 22.055, 121.555 22.055))",1,0,2026-02-04T14:59:48.291Z
屏東縣,車城鄉,22.07,120.71,"POLYGON ((120.705 22.065, 120.705 22.075, 120.715 22.075, 120.715 22.065, 120.705 22.065))",4,0,2026-02-04T14:59:48.291Z
屏東縣,車城鄉,22.08,120.72,"POLYGON ((120.715 22.075, 120.715 22.085, 120.725 22.085, 120.725 22.075, 120.715 22.075))",1,1,2026-02-04T14:59:48.291Z
屏東縣,車城鄉,22.09,120.75,"POLYGON ((120.745 22.085, 120.745 22.095, 120.755 22.095, 120.755 22.085, 120.745 22.085))",1,0,2026-02-04T14:59:48.291Z
屏東縣,牡丹鄉,22.13,120.77,"POLYGON ((120.765 22.125, 120.765 22.135, 120.775 22.135, 120.775 22.125, 120.765 22.125))",2,0,2026-02-04T14:59:48.291Z
屏東縣,枋山鄉,22.2,120.69,"POLYGON ((120.685 22.195, 120.685 22.205, 120.695 22.205, 120.695 22.195, 120.685 22.195))",2,0,2026-02-04T14:59:48.291Z
屏東縣,獅子鄉,22.22,120.79,"POLYGON ((120.785 22.215, 120.785 22.225, 120.795 22.225, 120.795 22.215, 120.785 22.215))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋山鄉,22.24,120.66,"POLYGON ((120.655 22.235, 120.655 22.245, 120.665 22.245, 120.665 22.235, 120.655 22.235))",2,0,2026-02-04T14:59:48.291Z
屏東縣,枋山鄉,22.25,120.66,"POLYGON ((120.655 22.245, 120.655 22.255, 120.665 22.255, 120.665 22.245, 120.655 22.245))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋山鄉,22.26,120.65,"POLYGON ((120.645 22.255, 120.645 22.265, 120.655 22.265, 120.655 22.255, 120.645 22.255))",1,0,2026-02-04T14:59:48.291Z
臺東縣,達仁鄉,22.29,120.88,"POLYGON ((120.875 22.285, 120.875 22.295, 120.885 22.295, 120.885 22.285, 120.875 22.285))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋山鄉,22.32,120.63,"POLYGON ((120.625 22.315, 120.625 22.325, 120.635 22.325, 120.635 22.315, 120.625 22.315))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋山鄉,22.33,120.62,"POLYGON ((120.615 22.325, 120.615 22.335, 120.625 22.335, 120.625 22.325, 120.615 22.325))",1,0,2026-02-04T14:59:48.291Z
屏東縣,琉球鄉,22.34,120.37,"POLYGON ((120.365 22.335, 120.365 22.345, 120.375 22.345, 120.375 22.335, 120.365 22.335))",1,0,2026-02-04T14:59:48.291Z
臺東縣,大武鄉,22.34,120.89,"POLYGON ((120.885 22.335, 120.885 22.345, 120.895 22.345, 120.895 22.335, 120.885 22.335))",1,0,2026-02-04T14:59:48.291Z
屏東縣,琉球鄉,22.35,120.38,"POLYGON ((120.375 22.345, 120.375 22.355, 120.385 22.355, 120.385 22.345, 120.375 22.345))",2,0,2026-02-04T14:59:48.291Z
屏東縣,枋寮鄉,22.36,120.6,"POLYGON ((120.595 22.355, 120.595 22.365, 120.605 22.365, 120.605 22.355, 120.595 22.355))",2,0,2026-02-04T14:59:48.291Z
臺東縣,大武鄉,22.36,120.91,"POLYGON ((120.905 22.355, 120.905 22.365, 120.915 22.365, 120.915 22.355, 120.905 22.355))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋寮鄉,22.37,120.59,"POLYGON ((120.585 22.365, 120.585 22.375, 120.595 22.375, 120.595 22.365, 120.585 22.365))",2,1,2026-02-04T14:59:48.291Z
屏東縣,枋寮鄉,22.37,120.6,"POLYGON ((120.595 22.365, 120.595 22.375, 120.605 22.375, 120.605 22.365, 120.595 22.365))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋寮鄉,22.37,120.61,"POLYGON ((120.605 22.365, 120.605 22.375, 120.615 22.375, 120.615 22.365, 120.605 22.365))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋寮鄉,22.38,120.6,"POLYGON ((120.595 22.375, 120.595 22.385, 120.605 22.385, 120.605 22.375, 120.595 22.375))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋寮鄉,22.39,120.6,"POLYGON ((120.595 22.385, 120.595 22.395, 120.605 22.395, 120.605 22.385, 120.595 22.385))",2,0,2026-02-04T14:59:48.291Z
屏東縣,枋寮鄉,22.4,120.57,"POLYGON ((120.565 22.395, 120.565 22.405, 120.575 22.405, 120.575 22.395, 120.565 22.395))",1,0,2026-02-04T14:59:48.291Z
屏東縣,枋寮鄉,22.4,120.58,"POLYGON ((120.575 22.395, 120.575 22.405, 120.585 22.405, 120.585 22.395, 120.575 22.395))",1,0,2026-02-04T14:59:48.291Z
屏東縣,佳冬鄉,22.41,120.55,"POLYGON ((120.545 22.405, 120.545 22.415, 120.555 22.415, 120.555 22.405, 120.545 22.405))",1,0,2026-02-04T14:59:48.291Z
屏東縣,佳冬鄉,22.41,120.56,"POLYGON ((120.555 22.405, 120.555 22.415, 120.565 22.415, 120.565 22.405, 120.555 22.405))",1,0,2026-02-04T14:59:48.291Z
屏東縣,林邊鄉,22.43,120.52,"POLYGON ((120.515 22.425, 120.515 22.435, 120.525 22.435, 120.525 22.425, 120.515 22.425))",2,0,2026-02-04T14:59:48.291Z
屏東縣,佳冬鄉,22.43,120.56,"POLYGON ((120.555 22.425, 120.555 22.435, 120.565 22.435, 120.565 22.425, 120.555 22.425))",2,1,2026-02-04T14:59:48.291Z
